cuid,cuname,cuindex,culabel,sppqualifiedid,SPECIES_QUALIFIED,region,age,faz
171,Alastair,L_20_01,Alastair,1,SEL,skeena,1+,LSK
172,Aldrich,L_20_02,Mcdonell/Dennis/Aldrich,1,SEL,skeena,1+,LSK
173,Dennis,L_20_03,Mcdonell/Dennis/Aldrich,1,SEL,skeena,1+,LSK
174,Ecstall/Lower,L_20_04,Ecstall/Lower,1,SEL,skeena,1+,LSK
175,Johnston,L_20_05,Johnston,1,SEL,skeena,1+,LSK
176,Kitsumkalum,L_20_06,Kitsumkalum,1,SEL,skeena,1+,LSK
177,Lakelse,L_20_07,Lakelse,1,SEL,skeena,1+,LSK
178,Mcdonell,L_20_08,Mcdonell/Dennis/Aldrich,1,SEL,skeena,1+,LSK
179,Atna,L_21_01,Morice/Atna,1,SEL,skeena,1+,MSK
180,Babine,L_21_02,Babine/Onerka,1,SEL,skeena,1+,MSK
181,Bulkley,L_21_03,Bulkley/Maxan,1,SEL,skeena,1+,MSK
182,Club Lake,L_21_04,Swan/Club,1,SEL,skeena,1+,MSK
183,Gitanyow,L_21_05,Gitanyow (Kitwanga/Kitwancool),1,SEL,skeena,1+,MSK
184,Maxan,L_21_06,Bulkley/Maxan,1,SEL,skeena,1+,MSK
185,Morice,L_21_07,Morice/Atna,1,SEL,skeena,1+,MSK
186,Nilkitkwa,L_21_08,Nilkitkwa,1,SEL,skeena,1+,MSK
187,Stephens,L_21_09,Stephens,1,SEL,skeena,1+,MSK
188,Swan,L_21_10,Swan/Club,1,SEL,skeena,1+,MSK
189,Tahlo/Morrison,L_21_11,Tahlo/Morrison,1,SEL,skeena,1+,MSK
190,Asitika,L_22_01,Asitika,1,SEL,skeena,1+,USK
191,Azuklotz,L_22_02,Azuklotz,1,SEL,skeena,1+,USK
192,Bear,L_22_03,Bear,1,SEL,skeena,1+,USK
193,Damshilgwit,L_22_04,Damshilgwit,1,SEL,skeena,1+,USK
194,Johanson,L_22_05,Johanson,1,SEL,skeena,1+,USK
195,Kluatantan,L_22_06,Kluatantan,1,SEL,skeena,1+,USK
196,Kluayaz,L_22_07,Kluayaz,1,SEL,skeena,1+,USK
197,Motase,L_22_08,Motase,1,SEL,skeena,1+,USK
198,Sicintine,L_22_09,Sicintine,1,SEL,skeena,1+,USK
199,Slamgeesh,L_22_10,Slamgeesh,1,SEL,skeena,1+,USK
200,Spawning,L_22_11,Spawning,1,SEL,skeena,1+,USK
201,Sustut,L_22_12,Sustut,1,SEL,skeena,1+,USK
202,Lower Skeena-CO,NULL,Lower Skeena,6,CO,skeena,1+,LSK
203,Babine (enhanced),NULL,Babine (enhanced),1,SEL,skeena,1+,MSK
204,Babine-Pinkut,NULL,Babine (enhanced),1,SEL,skeena,1+,MSK
205,Ecstall,NULL,Ecstall,5,CK,skeena,0+,LSK
206,Kalum-early timing,NULL,Kalum-Early,5,CK,skeena,1+,LSK
207,Kalum-late timing,NULL,Kalum-Late,5,CK,skeena,1+,LSK
209,Lower Skeena (odd),NULL,Lower Skeena River (odd),3,PKO,skeena,0+,LSK
210,Lower Skeena-CK,NULL,Lower Skeena,5,CK,skeena,1+,LSK
211,Lower Skeena-CM,NULL,Lower Skeena,7,CM,skeena,0+,LSK
212,Upper Skeena-CK,NULL,Upper Skeena,5,CK,skeena,1+,USK
213,Middle & Upper Skeena (odd),NULL,Middle-Upper Skeena (odd),3,PKO,skeena,0+,MSK
214,Middle Skeena-CM,NULL,Middle Skeena,7,CM,skeena,0+,MSK
215,Middle Skeena-CO,NULL,Middle Skeena,6,CO,skeena,1+,MSK
216,Skeena River-high interior,NULL,Skeena River-High Interior (river-type),2,SER,skeena,1+,MSK
217,Middle Skeena-mainstem tributaries,NULL,Middle Skeena-Mainstem Tributaries,5,CK,skeena,1+,MSK
218,Middle-Upper Skeena (even),NULL,Middle-Upper Skeena (even),4,PKE,skeena,0+,MSK
219,Nass-Skeena Estuary (even),NULL,Nass-Skeena Estuary (even),4,PKE,skeena,0+,LNR-P
220,Skeena Estuary-CM,NULL,Skeena Estuary,7,CM,skeena,0+,HecLow
221,Upper Bulkley River,NULL,Upper Bulkley River,5,CK,skeena,1+,MSK
222,Middle Skeena-large lakes,NULL,Middle Skeena-Large Lakes,5,CK,skeena,1+,MSK
223,Nass-Skeena Estuary (odd),NULL,Nass-Skeena Estuary (odd),3,PKO,skeena,0+,HecLow
224,Skeena Estuary-CK,NULL,Skeena Estuary,5,CK,skeena,,HecLow
225,Skeena Estuary-CO,NULL,Skeena Estuary,6,CO,skeena,1+,HecLow
226,Skeena River,NULL,Skeena River (river-type),2,SER,skeena,1+,MSK
227,Lakelse-CK,NULL,Lakelse,5,CK,skeena,1+,LSK
229,Zymoetz,NULL,Zymoetz,5,CK,skeena,1+,LSK
230,Footsore/Hodder,NULL,Footsore/Hodder,1,SEL,skeena,1+,MSK
231,Upper Skeena-CO,NULL,Upper Skeena,6,CO,skeena,1+,USK
240,Lower Skeena (even),NULL,Lower Skeena (even),4,PKE,skeena,0+,LSK
241,Sicintine,NULL,Sicintine,5,CK,skeena,,USK
242,Upper Skeena,NULL,Upper Skeena,7,CM,skeena,0+,USK
243,Onerka,NULL,Babine/Onerka,1,SEL,skeena,1+,MSK
280,Upper Skeena Headwaters,NULL,Upper Skeena Headwaters,10,SH,skeena,1+,USK
281,Upper Sustut,NULL,Upper Sustut,10,SH,skeena,1+,USK
282,Upper Skeena,NULL,Upper Skeena,10,SH,skeena,1+,USK
283,Kispiox,NULL,Kispiox,10,SH,skeena,1+,MSK
284,Babine,NULL,Babine,10,SH,skeena,1+,MSK
285,Middle Skeena,NULL,Middle Skeena,10,SH,skeena,1+,MSK
286,Suskwa,NULL,Suskwa,10,SH,skeena,1+,MSK
287,Bulkley,NULL,Bulkley,10,SH,skeena,1+,MSK
288,Skeena Coastal Summers,NULL,Skeena Coastal Summers,10,SH,skeena,1+,LSK
289,Morice,NULL,Morice,10,SH,skeena,1+,MSK
290,Skeena Coastal Winters,NULL,Skeena Coastal Winters,10,SH,skeena,1+,LSK
301,CK001-Okanagan_1.x,CK-001,Okanagan,5,CK,columbia,,OK
302,CK002-Boundary Bay_FA_0.3,CK-002,Boundary Bay (Fall 4-1),5,CK,fraser,0+,BB
303,CK003-Lower Fraser River_FA_0.3,CK-003,Lower Fraser River (Fall 4-1),5,CK,fraser,0+,LFR
304,CK004-Lower Fraser River_SP_1.3,CK-004,Lower Fraser River (Spring 5-2),5,CK,fraser,1+,LFR
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK-005,Lower Fraser River-Upper Pitt (Summer 5-2),5,CK,fraser,1+,LFR
306,CK006-Lower Fraser River_SU_1.3,CK-006,Lower Fraser River (Summer 5-2),5,CK,fraser,1+,LFR
307,CK007-Maria Slough_SU_0.3,CK-007,Lower Fraser River-Maria Slough (Summer 4-1),5,CK,fraser,0+,LFR
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK-008,Fraser Canyon-Nahatlatch (Spring 5-2),5,CK,fraser,1+,FRCany
309,CK009-Middle Fraser River-Portage_FA_1.3,CK-009,Middle Fraser River-Portage (Fall 5-2),5,CK,fraser,1+,MFR
310,CK010-Middle Fraser River_SP_1.3,CK-010,Middle Fraser River (Spring 5-2),5,CK,fraser,1+,MFR
311,CK011-Middle Fraser River_SU_1.3,CK-011,Middle Fraser River (Summer 5-2),5,CK,fraser,1+,MFR
312,CK012-Upper Fraser River_SP_1.3,CK-012,Upper Fraser River (Spring 5-2),5,CK,fraser,1+,UFR
313,CK013-South Thompson_SU_0.3,CK-013,South Thompson River (Summer 4-1),5,CK,fraser,0+,STh
314,CK014-South Thompson_SU_1.3,CK-014,South Thompson River (Summer 5-2),5,CK,fraser,1+,STh
315,CK015-Shuswap River_SU_0.3,CK-015,Shuswap River (Summer 4-1),5,CK,fraser,0+,STh
316,CK016-South Thompson-Bessette Creek_SU_1.2,CK-016,South Thompson River-Bessette Creek (Summer 4-2),5,CK,fraser,1+,STh
317,CK017-Lower Thompson_SP_1.2,CK-017,Lower Thompson River (Spring 4-2),5,CK,fraser,1+,LTh
318,CK018-North Thompson_SP_1.3,CK-018,North Thompson River (Spring 5-2),5,CK,fraser,1+,NTh
319,CK019-North Thompson_SU_1.3,CK-019,North Thompson River (Summer 5-2),5,CK,fraser,1+,NTh
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,CK-020,Southern Mainland-Georgia Strait (Fall x-1),5,CK,vancouver island and mainland inlets,0+,SC
321,CK021-East Vancouver Island-Goldstream_FA_0.x,CK-021,East Vancouver Island-Goldstream (Fall x-1),5,CK,vancouver island and mainland inlets,0+,EVI
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CK-022,East Vancouver Island-Cowichan and Koksilah (Fall x-1),5,CK,vancouver island and mainland inlets,0+,EVI
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,CK-023,East Vancouver Island-Nanaimo (Spring x-2),5,CK,vancouver island and mainland inlets,1+,EVI
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,CK-025,East Vancouver Island-Nanaimo and Chemainus (Fall x-1),5,CK,vancouver island and mainland inlets,0+,EVI
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,CK-027,East Vancouver Island-Qualicum and Puntledge (Fall x-1),5,CK,vancouver island and mainland inlets,0+,EVI
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,CK-028,Southern Mainland-Southern Fjords (Fall x-1),5,CK,vancouver island and mainland inlets,0+,SC
327,CK029-East Vancouver Island-North_FA_0.x,CK-029,East Vancouver Island-North (Fall x-1),5,CK,vancouver island and mainland inlets,0+,EVI
328,CK031-West Vancouver Island-South_FA_0.x,CK-031,West Vancouver Island-South (Fall x-1),5,CK,vancouver island and mainland inlets,0+,WVI
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,CK-032,West Vancouver Island-Nootka and Kyuquot (Fall x-1),5,CK,vancouver island and mainland inlets,0+,WVI
330,CK033-West Vancouver Island-North_FA_0.x,CK-033,West Vancouver Island-North (Fall x-1),5,CK,vancouver island and mainland inlets,0+,WVI
331,CK034-Homathko_SU_x.x,CK-034,Homathko (Summer x-x),5,CK,vancouver island and mainland inlets,"0+, 1+",HK
332,CK035-Klinaklini_SU_1.3,CK-035,Klinaklini (Summer 5-2),5,CK,vancouver island and mainland inlets,1+,HK
333,CK082-Upper Adams River_SU_x.x,CK-082,South Thompson-Adams River Upper,5,CK,fraser,"0+, 1+",STh
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,CK-083,East Vancouver Island-Georgia Strait (Summer 4-1),5,CK,vancouver island and mainland inlets,0+,EVI
335,Fraser-Harrison fall transplant_FA_0.3,CK-9008,Fraser-Harrison Fall Transplant (Fall 4-1),5,CK,fraser,0+,LFR
401,Portland Sound-Observatory Inlet-Lower Nass,NULL,Portland Sound-Observatory Inlet-Lower Nass,5,CK,nass,1+,LNR-P
402,Upper Nass,NULL,Upper Nass,5,CK,nass,1+,UNR
404,Portland Inlet,NULL,Portland Inlet,7,CM,nass,0+,LNR-P
405,Lower Nass,NULL,Lower Nass,7,CM,nass,0+,LNR-P
406,Portland Canal-Observatory,NULL,Portland Canal-Observatory,7,CM,nass,0+,LNR-P
408,Lower Nass,NULL,Lower Nass,6,CO,nass,1+,LNR-P
409,Upper Nass,NULL,Upper Nass,6,CO,nass,1+,UNR
410,Portland Sound-Observatory Inlet-Portland Canal,NULL,Portland Sound-Observatory Inlet-Portland Canal,6,CO,nass,1+,LNR-P
412,Upper Nass,NULL,Upper Nass (even),4,PKE,nass,0+,UNR
414,Nass-Portland-Observatory,NULL,Nass-Portland-Observatory (odd),3,PKO,nass,0+,LNR-P
415,Upper Nass,NULL,Upper Nass (odd),3,PKO,nass,0+,UNR
416,Prudhomme,NULL,Prudhomme,1,SEL,skeena,1+,HecLow
417,Shawatlan,NULL,Shawatlan,1,SEL,skeena,1+,HecLow
418,Clements,NULL,Clements,1,SEL,nass,1+,LNR-P
419,Leverson,NULL,Leverson,1,SEL,nass,1+,LNR-P
420,Bowser,NULL,Bowser,1,SEL,nass,1+,UNR
421,Damdochax,NULL,Damdochax,1,SEL,nass,1+,UNR
422,Fred Wright,NULL,Fred Wright,1,SEL,nass,1+,UNR
423,Kwinageese,NULL,Kwinageese,1,SEL,nass,1+,UNR
424,Meziadin,NULL,Meziadin,1,SEL,nass,1+,UNR
425,Oweegee,NULL,Oweegee,1,SEL,nass,1+,UNR
426,Lower Nass-Portland,NULL,Lower Nass-Portland (river-type),2,SER,nass,1+,LNR-P
427,Upper Nass River,NULL,Upper Nass River (river-type),2,SER,nass,1+,UNR
480,Nass Summer,NULL,Nass Summer,10,SH,nass,1+,UNR
481,Nass Winter,NULL,Nass Winter,10,SH,nass,1+,LNR-P
500,Smith Inlet (Chum),12,Smith Inlet,7,CM,central coast,0+,RSI
501,Rivers Inlet (Chum),13,Rivers Inlet,7,CM,central coast,0+,RSI
502,Wannock (Chum),14,Wannock,7,CM,central coast,0+,RSI
503,Spiller-Fitz-Hugh-Burke (Chum),15,Spiller-Fitz-Hugh-Burke,7,CM,central coast,0+,HecLow
504,Bella Coola-Dean Rivers (Chum),16,Bella Coola-Dean Rivers,7,CM,central coast,0+,BCD
505,Bella Coola River-Late (Chum),17,Bella Coola River-Late,7,CM,central coast,0+,BCD
506,Hecate Lowlands (Chum),18,Hecate Lowlands,7,CM,central coast,0+,HecLow
507,Mussel-Kynock (Chum),19,Mussel-Kynoch,7,CM,central coast,0+,NC
508,Douglas-Gardner (Chum),20,Douglas-Gardner,7,CM,central coast,0+,NC
509,Docee (Chinook),36,Docee,5,CK,central coast,0+,RSI
510,Rivers Inlet (Chinook),37,Rivers Inlet,5,CK,central coast,1+,RSI
511,Wannock (Chinook),38,Wannock,5,CK,central coast,0+,RSI
512,Bella Coola-Bentinck (Chinook),39,Bella Coola-Bentinck,5,CK,central coast,0+,BCD
513,Dean River (Chinook),40,Dean River,5,CK,central coast,"0+, 1+",BCD
514,North & Central Coast-late timing (Chinook),41,North & Central Coast-Late,5,CK,central coast,0+,NC
515,North & Central Coast-early timing (Chinook),42,North & Central Coast-Early,5,CK,central coast,0+,NC
516,Smith Inlet (Coho),20,Smith Inlet,6,CO,central coast,1+,RSI
517,Rivers Inlet (Coho),21,Rivers Inlet,6,CO,central coast,1+,RSI
518,Bella Coola-Dean Rivers (Coho),22,Bella Coola-Dean Rivers,6,CO,central coast,1+,BCD
519,Mussel-Kynoch (Coho),26,Mussel-Kynoch,6,CO,central coast,1+,NC
520,Hecate Strait Mainland (Coho),27,Hecate Strait Mainland,6,CO,central coast,1+,HecLow
521,Brim-Wahoo (Coho),28,Brim-Wahoo,6,CO,central coast,1+,NC
522,Douglas Channel-Kitimat Arm (Coho),29,Douglas Channel-Kitimat Arm,6,CO,central coast,1+,NC
523,Northern Coastal Streams (Coho),30,Northern Coastal Streams,6,CO,central coast,1+,NC
524,Long (Sockeye-Lake),,Long,1,SEL,central coast,1+,RSI
525,Owikeno (Sockeye-Lake),,Owikeno,1,SEL,central coast,1+,RSI
527,Wannock[Owikeno] (Sockeye-Lake),,Wannock (Owikeno),1,SEL,central coast,1+,RSI
528,South Atnarko Lakes (Sockeye-Lake),,South Atnarko Lakes,1,SEL,central coast,1+,RSI
529,Backland (Sockeye-Lake),,Backland,1,SEL,central coast,1+,NC
530,Soda Creek (Sockeye-Lake),,Soda Creek,1,SEL,central coast,1+,NC
532,Canoona (Sockeye-Lake),,Canoona,1,SEL,central coast,1+,NC
533,Dome (Sockeye-Lake),,Dome,1,SEL,central coast,1+,NC
534,Evelyn (Sockeye-Lake),,Evelyn,1,SEL,central coast,1+,NC
535,Kainet Creek (Sockeye-Lake),,Kainet Creek,1,SEL,central coast,1+,NC
536,Kimsquit (Sockeye-Lake),,Kimsquit,1,SEL,central coast,1+,NC
537,Kitkiata (Sockeye-Lake),,Kitkiata,1,SEL,central coast,1+,NC
538,Kitlope (Sockeye-Lake),,Kitlope,1,SEL,central coast,1+,NC
539,Pine River (Sockeye-Lake),,Pine River,1,SEL,central coast,1+,NC
540,Banks (Sockeye-Lake),,Banks,1,SEL,central coast,1+,HecLow
541,Bloomfield (Sockeye-Lake),,Bloomfield,1,SEL,central coast,1+,HecLow
542,Bolton Creek (Sockeye-Lake),,Bolton Creek,1,SEL,central coast,1+,HecLow
543,Bonilla (Sockeye-Lake),,Bonilla,1,SEL,central coast,1+,HecLow
544,Borrowman Creek (Sockeye-Lake),,Borrowman Creek,1,SEL,central coast,1+,HecLow
545,Busey Creek (Sockeye-Lake),,Busey Creek,1,SEL,central coast,1+,HecLow
546,Cartwright Creek (Sockeye-Lake),,Cartwright Creek,1,SEL,central coast,1+,HecLow
547,Chic Chic (Sockeye-Lake),,Chic Chic,1,SEL,central coast,1+,HecLow
548,Citeyats (Sockeye-Lake),,Citeyats,1,SEL,central coast,1+,HecLow
549,Fannie Cove (Sockeye-Lake),,Fannie Cove,1,SEL,central coast,1+,HecLow
550,Curtis Inlet (Sockeye-Lake),,Curtis Inlet,1,SEL,central coast,1+,HecLow
551,Dallain Creek (Sockeye-Lake),,Dallain Creek,1,SEL,central coast,1+,HecLow
552,Deer (Sockeye-Lake),,Deer,1,SEL,central coast,1+,HecLow
553,Devon (Sockeye-Lake),,Devon,1,SEL,central coast,1+,HecLow
554,Douglas Creek (Sockeye-Lake),,Douglas Creek,1,SEL,central coast,1+,HecLow
555,Elizabeth (Sockeye-Lake),,Elizabeth,1,SEL,central coast,1+,HecLow
556,Elsie/Hoy (Sockeye-Lake),,Elsie/Hoy,1,SEL,central coast,1+,HecLow
557,End Hill Creek (Sockeye-Lake),,End Hill Creek,1,SEL,central coast,1+,HecLow
558,Evinrude Inlet (Sockeye-Lake),,Evinrude Inlet,1,SEL,central coast,1+,HecLow
559,Freeda (Sockeye-Lake),,Freeda,1,SEL,central coast,1+,HecLow
560,Hartley Bay (Sockeye-Lake),,Hartley Bay,1,SEL,central coast,1+,HecLow
561,Hevenor Inlet (Sockeye-Lake),,Hevenor Inlet,1,SEL,central coast,1+,HecLow
562,Higgins Lagoon (Sockeye-Lake),,Higgins Lagoon,1,SEL,central coast,1+,HecLow
563,Kadjusdis River (Sockeye-Lake),,Kadjusdis River,1,SEL,central coast,1+,HecLow
564,Kdelmashan Creek (Sockeye-Lake),,Kdelmashan Creek,1,SEL,central coast,1+,HecLow
565,Keecha (Sockeye-Lake),,Keecha,1,SEL,central coast,1+,HecLow
566,Kent Inlet Lagoon Creek (Sockeye-Lake),,Kent Inlet Lagoon Creek,1,SEL,central coast,1+,HecLow
567,Kenzuwash Creeks (Sockeye-Lake),,Kenzuwash Creeks,1,SEL,central coast,1+,HecLow
568,Keswar Creek (Sockeye-Lake),,Keswar Creek,1,SEL,central coast,1+,HecLow
569,Kildidt Creek (Sockeye-Lake),,Kildidt Creek,1,SEL,central coast,1+,HecLow
570,Kildidt Lagoon Creek (Sockeye-Lake),,Kildidt Lagoon Creek,1,SEL,central coast,1+,HecLow
571,Kisameet (Sockeye-Lake),,Kisameet,1,SEL,central coast,1+,HecLow
572,Koeye (Sockeye-Lake),,Koeye,1,SEL,central coast,1+,HecLow
573,Kooryet (Sockeye-Lake),,Kooryet,1,SEL,central coast,1+,HecLow
574,Kunsoot River (Sockeye-Lake),,Kunsoot River,1,SEL,central coast,1+,HecLow
575,Kwakwa Creek (Sockeye-Lake),,Kwakwa Creek,1,SEL,central coast,1+,HecLow
576,Lewis Creek (Sockeye-Lake),,Lewis Creek,1,SEL,central coast,1+,HecLow
577,Limestone Creek (Sockeye-Lake),,Limestone Creek,1,SEL,central coast,1+,HecLow
578,Lowe/Simpson/Weir (Sockeye-Lake),,Lowe/Simpson/Weir,1,SEL,central coast,1+,HecLow
579,Mary Cove Creek (Sockeye-Lake),,Mary Cove Creek,1,SEL,central coast,1+,HecLow
580,Mcdonald Creek (Sockeye-Lake),,Mcdonald Creek,1,SEL,central coast,1+,HecLow
581,Mcloughlin (Sockeye-Lake),,Mcloughlin,1,SEL,central coast,1+,HecLow
582,Mikado (Sockeye-Lake),,Mikado,1,SEL,central coast,1+,HecLow
583,Monckton Inlet Creek (Sockeye-Lake),,Monckton Inlet Creek,1,SEL,central coast,1+,HecLow
584,Namu (Sockeye-Lake),,Namu,1,SEL,central coast,1+,HecLow
585,Port John (Sockeye-Lake),,Port John,1,SEL,central coast,1+,HecLow
586,Powles Creek (Sockeye-Lake),,Powles Creek,1,SEL,central coast,1+,HecLow
587,Price Creek (Sockeye-Lake),,Price Creek,1,SEL,central coast,1+,HecLow
588,Roderick (Sockeye-Lake),,Roderick,1,SEL,central coast,1+,HecLow
589,Ryan Creek (Sockeye-Lake),,Ryan Creek,1,SEL,central coast,1+,HecLow
590,Salter (Sockeye-Lake),,Salter,1,SEL,central coast,1+,HecLow
591,Scoular/Kilpatrick (Sockeye-Lake),,Scoular/Kilpatrick,1,SEL,central coast,1+,HecLow
592,Sheneeza Inlet (Sockeye-Lake),,Sheneeza Inlet,1,SEL,central coast,1+,HecLow
593,Ship Point Creek (Sockeye-Lake),,Ship Point Creek,1,SEL,central coast,1+,HecLow
594,Spencer Creek (Sockeye-Lake),,Spencer Creek,1,SEL,central coast,1+,HecLow
595,Stannard Creek (Sockeye-Lake),,Stannard Creek,1,SEL,central coast,1+,HecLow
596,Talamoosa Creek (Sockeye-Lake),,Talamoosa Creek,1,SEL,central coast,1+,HecLow
597,Tankeeah River (Sockeye-Lake),,Tankeeah River,1,SEL,central coast,1+,HecLow
598,Treneman Creek (Sockeye-Lake),,Treneman Creek,1,SEL,central coast,1+,HecLow
599,Tsimtack/Moore/Roger (Sockeye-Lake),,Tsimtack/Moore/Roger,1,SEL,central coast,1+,HecLow
600,Tuno Creek East (Sockeye-Lake),,Tuno Creek East,1,SEL,central coast,1+,HecLow
601,Tuno Creek West (Sockeye-Lake),,Tuno Creek West,1,SEL,central coast,1+,HecLow
602,Tyler Creek (Sockeye-Lake),,Tyler Creek,1,SEL,central coast,1+,HecLow
603,Wale Creek (Sockeye-Lake),,Wale Creek,1,SEL,central coast,1+,HecLow
604,Watt Bay (Sockeye-Lake),,Watt Bay,1,SEL,central coast,1+,HecLow
605,West Creek (Sockeye-Lake),,West Creek,1,SEL,central coast,1+,HecLow
606,Yaaklele Lagoon (Sockeye-Lake),,Yaaklele Lagoon,1,SEL,central coast,1+,HecLow
607,Yeo (Sockeye-Lake),,Yeo,1,SEL,central coast,1+,HecLow
608,Hecate Lowlands (Pink-Even Year),5,Hecate Lowlands (even),4,PKE,central coast,0+,HecLow
609,Hecate Strait-Fjords (Pink-Even Year),6,Hecate Strait-Fjords (even),4,PKE,central coast,0+,NC
